ESTADO,MUNICíPIO,LULA VOTOS,LULA VOTOS PERCENTUAL,BOLSONARO VOTOS,BOLSONARO PERCENTUAL,CIRO VOTOS,CIRO VOTOS PERCENTUAL,TEBET VOTOS,TEBET VOTOS PERCENTUAL,OUTROS VOTOS,OUTROS VOTOS PERCENTUAL,ABSTENÇÕES,ABSTENÇÕES PERCENTUAL,VOTOS BRANCOS,VOTOS BRANCOS PERCENTUAL,VOTOS NULOS,VOTOS NULOS PERCENTUAL
RO,Mirante da Serra,2333,36.58,3711,58.18,137,2.15,161,2.52,0,0.0,2611,28.57,66,1.01,83,1.27
RO,Monte Negro,1816,25.36,4969,69.39,105,1.47,227,3.17,0,0.0,2777,27.54,39,0.53,105,1.44
RO,Nova Brasilândia D'Oeste,2785,27.13,6909,67.3,215,2.09,285,2.78,0,0.0,3566,25.32,116,1.11,136,1.29
RO,Nova Mamoré,3037,23.1,9627,73.21,197,1.5,225,1.71,0,0.0,4608,25.60,91,0.68,155,1.16
RO,Nova União,1749,43.11,2129,52.48,76,1.87,72,1.77,0,0.0,1434,25.76,27,0.66,48,1.16
RO,Novo Horizonte do Oeste,1853,34.85,3127,58.81,107,2.01,186,3.5,0,0.0,1402,20.50,48,0.89,72,1.32
RO,Ouro Preto do Oeste,5740,28.02,13523,66.01,457,2.23,605,2.95,1,0.0,9394,30.96,162,0.78,296,1.41
RO,Parecis,957,39.17,1346,55.1,50,2.05,62,2.54,0,0.0,780,23.86,16,0.64,30,1.21
RO,Pimenta Bueno,4887,24.76,13773,69.79,342,1.73,572,2.9,1,0.01,6097,23.03,264,1.30,381,1.87
RO,Pimenteiras do Oeste,502,33.85,902,60.82,16,1.08,54,3.64,0,0.0,480,24.14,9,0.60,16,1.06
RO,Porto Velho,92037,34.21,152878,56.83,7919,2.94,12243,4.55,56,0.02,73802,21.04,2950,1.06,4922,1.78
RO,Presidente Médici,2889,25.77,7589,67.69,209,1.86,401,3.58,1,0.01,4075,26.13,144,1.25,167,1.45
RO,Primavera de Rondônia,581,26.48,1486,67.73,48,2.19,65,2.96,0,0.0,610,21.20,21,0.93,52,2.29
RO,Rio Crespo,599,25.41,1640,69.58,28,1.19,72,3.05,0,0.0,933,28.09,13,0.54,19,0.80
RO,Rolim de Moura,7538,25.97,19711,67.92,639,2.2,840,2.89,2,0.01,10602,26.18,404,1.35,468,1.57
RO,Santa Luzia D'Oeste,1576,33.0,2875,60.2,82,1.72,182,3.81,0,0.0,1919,28.08,58,1.18,81,1.65
RO,São Felipe D'Oeste,1017,30.45,2061,61.71,53,1.59,181,5.42,0,0.0,1015,22.89,30,0.88,50,1.46
RO,São Francisco do Guaporé,2633,28.59,6162,66.91,130,1.41,227,2.46,0,0.0,3174,25.28,84,0.89,89,0.95
RO,São Miguel do Guaporé,3986,31.61,7845,62.21,250,1.98,420,3.33,0,0.0,4460,25.65,138,1.07,181,1.40
RO,Seringueiras,2462,34.0,4401,60.78,111,1.53,220,3.04,0,0.0,2662,26.44,65,0.87,99,1.34
RO,Teixeirópolis,1106,37.18,1746,58.69,39,1.31,66,2.22,0,0.0,1042,25.49,28,0.92,43,1.41
RO,Theobroma,1785,31.46,3519,62.03,97,1.71,204,3.6,0,0.0,2224,27.61,62,1.06,95,1.63
RO,Urupá,2159,32.59,4102,61.93,139,2.1,175,2.64,0,0.0,2725,28.55,82,1.21,112,1.64
RO,Vale do Anari,1306,28.09,3061,65.84,94,2.02,158,3.4,0,0.0,1642,25.73,31,0.66,59,1.24
RO,Vale do Paraíso,1517,34.87,2607,59.93,91,2.09,101,2.32,0,0.0,1734,28.08,37,0.83,54,1.22
RO,Vilhena,10784,22.22,34872,71.86,836,1.72,1572,3.24,6,0.01,15493,23.67,595,1.19,837,1.68
RR,Alto Alegre,2362,26.04,6130,67.59,129,1.42,399,4.4,0,0.0,1617,14.83,60,0.65,155,1.67
RR,Amajari,1193,21.75,4005,73.03,85,1.55,178,3.25,0,0.0,897,13.81,29,0.52,85,1.52
RR,Boa Vista,36022,19.12,136176,72.26,5121,2.72,9245,4.91,32,0.02,40198,17.25,1621,0.84,2826,1.47
RR,Bonfim,2598,30.73,5488,64.92,96,1.14,248,2.93,0,0.0,1554,15.23,41,0.47,152,1.76
RR,Cantá,2916,26.41,7372,66.76,204,1.85,497,4.5,0,0.0,2062,15.45,66,0.58,176,1.56
